entry_date,entry_price,exit_date,exit_price,hold_days,return,capital_before,capital_after
2022-05-16,21.21749536817827,2023-12-27,31.87575912475586,590,1.5023337378719412,1029526039453948.0,1546691703089345.2
2022-05-16,21.21749536817827,2023-12-27,31.87575912475586,590,1.5023337378719412,1546691703089345.2,2323647127637735.0
2022-05-18,22.71223294284344,2024-01-19,34.348960876464844,611,1.5123550803175478,2323647127637735.0,3514179538348206.0
2022-05-18,22.71223294284344,2024-01-19,34.348960876464844,611,1.5123550803175478,3514179538348206.0,5314687277968884.0
2022-05-19,19.94599843070405,2023-12-15,30.0543212890625,575,1.5067845008349199,5314687277968884.0,8008088417228044.0
2022-05-19,19.94599843070405,2023-12-15,30.0543212890625,575,1.5067845008349199,8008088417228044.0,1.2066463508394862e+16
2022-05-20,20.90690128792495,2023-12-26,31.68854331970215,585,1.5156977537366705,1.2066463508394862e+16,1.8289111635219596e+16
2022-05-20,20.90690128792495,2023-12-26,31.68854331970215,585,1.5156977537366705,1.8289111635219596e+16,2.7720765423341548e+16
2022-09-29,9.457856073235387,2023-01-23,14.423315048217772,116,1.5250089382343262,2.7720765423341548e+16,4.227441504529291e+16
2022-09-29,9.457856073235387,2023-01-23,14.423315048217772,116,1.5250089382343262,4.227441504529291e+16,6.446886080269937e+16
2025-04-03,13.762485969296437,2025-06-10,21.814685821533203,68,1.5850832378831052,6.446886080269937e+16,1.0218851062377792e+17
2025-04-04,10.015421596168231,2025-05-12,17.071060180664062,38,1.704477441787895,1.0218851062377792e+17,1.7417801116813213e+17
2025-04-07,7.85288796715422,2025-04-09,12.726064682006836,2,1.6205585429507394,1.7417801116813213e+17,2.8226566399268582e+17
2025-04-08,10.37418293398558,2025-05-12,17.071060180664062,34,1.6455329821435547,2.8226566399268582e+17,4.644774598266149e+17
2025-04-09,8.450823712561299,2025-05-02,13.244274139404297,23,1.5672169471146364,4.644774598266149e+17,7.279369465930286e+17
2025-04-10,10.88242920629534,2025-05-12,17.071060180664062,32,1.5686810230558341,7.279369465930286e+17,1.1419008741016922e+18
2025-04-11,9.317830841840046,2025-05-09,14.061452865600586,28,1.5090908071071818,1.1419008741016922e+18,1.723232111734519e+18
2025-04-14,11.111636869103616,2025-05-12,17.071060180664062,28,1.5363227202043364,1.723232111734519e+18,2.647440645443439e+18
2025-04-15,10.56352996826172,2025-05-12,17.071060180664062,27,1.6160374639873518,2.647440645443439e+18,4.278363266719453e+18
2025-04-16,9.098586694195626,2025-05-09,14.061452865600586,23,1.545454622592208,4.278363266719453e+18,6.612016287680279e+18
2025-04-21,8.640169441362831,2025-05-02,13.244274139404297,11,1.5328720379024479,6.612016287680279e+18,1.0135374881540647e+19
2025-04-22,8.929172232114828,2025-05-08,13.613001823425291,16,1.5245536170155296,1.0135374881540647e+19,1.5451922435461138e+19
2026-03-23,54.630001068115234,2026-04-14,85.30999755859375,22,1.5615961173463142,1.5451922435461138e+19,2.4129662080752517e+19
2026-03-27,48.040000915527344,2026-04-10,76.38999938964844,14,1.5901331793055378,2.4129662080752517e+19,3.836937628003528e+19
2026-03-30,47.86000061035156,2026-04-09,71.9800033569336,10,1.5039699632048302,3.836937628003528e+19,5.770638943207694e+19
